time,count
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=1, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=1, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",3
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=2, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",2
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=3, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",2
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",3
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",1
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",2
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",0
"time.struct_time(tm_year=2018, tm_mon=1, tm_mday=31, tm_hour=7, tm_min=15, tm_sec=4, tm_wday=2, tm_yday=31, tm_isdst=0)",0
